SampleID	Clade	n	propClade
1061235278	C6	2	0.2
1061635088	C1	24	0.03274215552523874
1061635088	C3	15	0.020463847203274217
1061635088	C4	694	0.946793997271487
1061635208	C1	135	0.18442622950819673
1061635208	C2	4	0.00546448087431694
1061635208	C3	8	0.01092896174863388
1061635208	C4	585	0.7991803278688525
1061635368	C1	125	0.24224806201550386
1061635368	C3	9	0.01744186046511628
1061635368	C4	381	0.7383720930232558
1061635368	C6	1	0.001937984496124031
1062101108	C1	656	0.9924357034795764
1062101108	C2	5	0.007564296520423601
1062101238	C1	275	0.9963768115942029
1062101238	C2	1	0.0036231884057971015
1062101338	C1	323	0.9877675840978594
1062101338	C2	4	0.012232415902140673
1062601228	C1	103	1
1062601258	C1	15	1
1062601368	C1	13	1
1062701128	C1	6	0.05172413793103448
1062701128	C2	2	0.017241379310344827
1062701128	C3	73	0.6293103448275862
1062701128	C4	12	0.10344827586206896
1062701128	C5	22	0.1896551724137931
1062701128	C6	1	0.008620689655172414
1062701298	C1	1	0.0037735849056603774
1062701298	C2	3	0.011320754716981131
1062701298	C3	3	0.011320754716981131
1062701298	C4	257	0.969811320754717
1062701298	C6	1	0.0037735849056603774
1062735148	C1	7	0.05737704918032787
1062735148	C2	1	0.00819672131147541
1062735148	C3	93	0.7622950819672131
1062735148	C4	9	0.07377049180327869
1062735148	C5	11	0.09016393442622951
1062735148	C6	1	0.00819672131147541
1062735198	C1	8	0.05228758169934641
1062735198	C2	6	0.0392156862745098
1062735198	C3	81	0.5294117647058824
1062735198	C4	17	0.1111111111111111
1062735198	C5	30	0.19607843137254902
1062735198	C6	11	0.0718954248366013
1062901138	C1	131	0.28982300884955753
1062901138	C2	1	0.0022123893805309734
1062901138	C3	1	0.0022123893805309734
1062901138	C4	315	0.6969026548672567
1062901138	C5	4	0.008849557522123894
1062901218	C1	91	0.2732732732732733
1062901218	C2	11	0.03303303303303303
1062901218	C4	230	0.6906906906906907
1062901218	C5	1	0.003003003003003003
1062901318	C1	53	0.17207792207792208
1062901318	C2	4	0.012987012987012988
1062901318	C3	1	0.003246753246753247
1062901318	C4	227	0.737012987012987
1062901318	C5	23	0.07467532467532467
1900401198	C1	55	0.7051282051282052
1900401198	C2	1	0.01282051282051282
1900401198	C3	1	0.01282051282051282
1900401198	C4	11	0.14102564102564102
1900401198	C5	10	0.1282051282051282
1900401288	C2	1	0.0017391304347826088
1900401288	C3	23	0.04
1900401288	C5	551	0.9582608695652174
1900401398	C1	11	0.02528735632183908
1900401398	C2	5	0.011494252873563218
1900401398	C3	17	0.03908045977011494
1900401398	C5	402	0.9241379310344827
1902401118	C1	42	0.1453287197231834
1902401118	C2	1	0.0034602076124567475
1902401118	C4	244	0.8442906574394463
1902401118	C6	2	0.006920415224913495
1902401208	C1	44	0.07985480943738657
1902401208	C2	1	0.0018148820326678765
1902401208	C3	1	0.0018148820326678765
1902401208	C4	503	0.9128856624319419
1902401208	C6	2	0.003629764065335753
1902401308	C1	105	0.1721311475409836
1902401308	C2	2	0.003278688524590164
1902401308	C4	500	0.819672131147541
1902401308	C6	3	0.004918032786885246
2050501168	C1	1	0.014285714285714285
2050501168	C2	18	0.2571428571428571
2050501168	C4	51	0.7285714285714285
2050501298	C2	1	0.012048192771084338
2050501298	C3	2	0.024096385542168676
2050501298	C4	80	0.963855421686747
2050501348	C2	5	0.05102040816326531
2050501348	C3	1	0.01020408163265306
2050501348	C4	92	0.9387755102040817
4002101198	C1	42	0.09051724137931035
4002101198	C2	13	0.028017241379310345
4002101198	C3	56	0.1206896551724138
4002101198	C4	313	0.6745689655172413
4002101198	C5	29	0.0625
4002101198	C6	11	0.023706896551724137
4002101298	C1	3	0.01818181818181818
4002101298	C2	152	0.9212121212121213
4002101298	C3	3	0.01818181818181818
4002101298	C4	7	0.04242424242424243
4002135018	C1	9	0.016304347826086956
4002135018	C2	124	0.2246376811594203
4002135018	C3	410	0.7427536231884058
4002135018	C4	9	0.016304347826086956
4003235018	C1	1	0.001869158878504673
4003235018	C2	27	0.05046728971962617
4003235018	C3	2	0.003738317757009346
4003235018	C4	505	0.9439252336448598
4003235288	C1	45	0.05154639175257732
4003235288	C2	2	0.002290950744558992
4003235288	C3	807	0.9243986254295533
4003235288	C4	19	0.021764032073310423
