SampleID,rarefiedReads
6745187,100000
6745188,71741
6745189,0
6745190,100000
6745191,56723
6745192,100000
6745194,100000
6745195,44946
6745197,100000
6745198,100000
6745199,51232
6745200,100000
6745202,69322
6745204,35367
6745205,37046
6745208,100000
6745209,53464
6745211,100000
6745212,100000
6745213,18958
6745214,100000
6745215,100000
6745216,0
6745217,100000
6745218,100000
6745219,45443
6745220,49565
6745221,0
6745223,0
6745224,35606
6745225,33648
6745226,60349
6745227,96565
6745228,36315
6745230,100000
6745231,100000
6745233,100000
6745234,100000
6745235,100000
6745236,50775
6745239,100000
6745240,100000
6745241,100000
6745244,66671
6745245,100000
6745246,80400
6745247,0
6745248,76624
6745249,77308
6745250,0
6745251,100000
6745253,0
6745254,0
6745255,100000
6745257,100000
6745258,100000
6745259,0
6745261,82793
6745263,0
6745264,100000
6745265,0
6745266,100000
6745267,36782
6745268,38884
6745269,45573
6745271,50472
6745272,100000
6745273,100000
6745274,0
6745275,0
6745276,22130
6745278,100000
6745279,100000
6745280,69022
6745281,52690
6745282,100000
6745283,51862
