SampleID	Gardnerella_vaginalis
6744513	1.14238
6744514	56.33053
6744515	7.75353
6744516	54.90156
6744522	88.8661
6744524	62.51795
6744527	0
6744531	0
6744532	82.39048
6744536	54.45086
6744540	26.68039
6744543	64.08239
6744545	13.07935
6744550	0.0786
6744551	17.00167
6744552	85.45331
6744554	8.6371
6744556	0
6744557	82.57615
6744558	77.00986
6744560	0
6744561	0
6744566	7.5599
6744568	2.41395
6744569	7.43302
6744570	0
6744573	0
6744579	1.17126
6744582	0
6744583	26.41968
6744586	0.13532
6744587	0
6744590	0.19283
6744591	0
6744596	88.07332
6744602	4.93252
6744604	0
6744605	78.22833
6744607	0
6744608	42.11523
6744610	2.27004
6744612	5.4921
6744615	65.18845
6744621	15.69794
6744622	77.47425
6744624	33.33926
6744627	0
6744628	8.98265
6744633	30.75667
6744644	59.01319
6744647	48.8045
6744648	51.49425
6744650	2.32297
6744651	100
6744652	88.42229
6744654	74.04319
6744655	0
6744659	29.21416
6744660	0.03271
6744661	10.26369
6744672	43.58583
6744675	78.26523
6744677	79.01386
6744678	4.3116
6744683	1.04052
6744686	58.68253
6744690	8.8382
6744692	2.479
6744694	3.23407
6744700	0.08902
6744703	78.20836
6744706	0
6744709	2.01479
6744711	0
6744712	71.10964
6744715	3.34725
6744717	31.31684
6744719	75.87053
6744720	0.47918
6744721	0
6744724	0.1898
6744725	13.30017
6744730	0
6744732	66.26612
6744734	61.27433
6744738	28.36696
6744740	32.25008
6744741	18.83348
6744743	0
6744744	15.84809
6744746	37.19262
6744750	10.84155
6744751	2.1079
6744757	59.0128
6744761	0.9505
6744763	0
6744767	2.01721
6744771	0
6744773	25.15461
6744781	0
6744785	1.82657
6744786	3.9274
6744787	29.4676
6744788	9.45143
6744789	0.74081
6744792	77.45726
6744797	60.44943
6744798	50.06039
6744799	27.54422
6744801	30.84427
6744802	30.3286
6744806	46.95533
6744807	0
6744816	92.02022
6744818	66.21871
6744820	0
6744821	1.54223
6744822	0
6744823	7.19487
6744824	53.55406
6744825	24.30049
6744827	79.20303
6744830	0
6744834	0
6744836	16.19071
6744837	0.33254
6744838	0.74692
6744839	2.50244
6744843	62.85227
6744844	22.61247
6744846	58.90216
6744848	4.85311
6744849	49.44667
6744850	3.27916
6744851	13.43273
6744852	31.50718
6744853	82.3371
6744856	3.78026
6744864	64.54887
6744869	19.4867
6744870	39.95128
6744871	85.01574
6744872	0
6744873	16.23207
6744874	2.20019
6744876	49.79201
6744879	42.35553
6744885	67.89748
6744886	17.39818
6744887	3.54129
6744888	19.8535
6744892	0
6744893	59.21991
6744895	48.85755
6744899	6.63915
6744904	88.86952
6744905	90.28471
6744907	1.0111
6744910	2.48273
6744913	0
6744919	69.29182
6744921	0
6744923	80.47668
6744924	4.69735
6744927	92.44443
6744929	94.68063
6744932	4.0474
6744933	79.41279
6744934	2.84637
6744936	0
6744937	14.55575
6744939	0
6744942	33.93652
6744943	88.70274
6744944	4.54007
6744946	84.4427
6744947	0
6744948	0
6744950	0.07124
6744952	82.36372
6744963	0
6744964	57.30004
6744965	63.27271
6744966	1.41991
6744970	0
6744974	83.84686
6744978	73.17072
6744979	27.15104
6744988	25.62363
6744993	27.30943
6744995	0
6745000	1.32286
6745002	0
6745003	43.22734
6745036	0
6745041	3.07784
6745048	0
6745150	7.18994
6745209	4.48934
