Sample uploadCount1 uploadCount2 uploadCountS filteredCount1 filteredCount2 filteredCountS
1060435158 66075584 66075584 7314252 18742856 18742856 345936
1060835148 69933688 69933688 7668760 20384312 20384312 433552
4007135288 48531212 48531212 5074552 15571332 15571332 766900
4004935158 53157048 53157048 5682892 15500824 15500824 930464
4004235208 58296836 58296836 6349920 22666752 22666752 1262736
1005601168 67649296 67649296 7436536 34207848 34207848 2714220
1005601098 72672288 72672288 8200720 36445248 36445248 3112068
4007435248 50396580 50396580 5012676 23812216 23812216 1986200
4009835228 40602056 40602056 3740988 17188788 17188788 1202352
4003235368 51159736 51159736 5047372 19461220 19461220 1118984
4007435168 53479620 53479620 5771828 28844748 28844748 2532168
4006935208 65657540 65657540 6307348 34003876 34003876 2518324
4003235018 104109176 104109176 12139604 34518440 34518440 1354304
4009835178 71269304 71269304 8957988 64090648 64090648 8078780
1005601348 70694500 70694500 8039344 70385448 70385448 7984496
4007535358 56137924 56137924 6060292 27240116 27240116 2048372
4009835268 54508480 54508480 5878152 27857948 27857948 2773900
4009035168 55901792 55901792 5485780 33039684 33039684 2579780
4009035368 53102260 53102260 5732348 26716252 26716252 2032808
4006935248 82833440 82833440 9221512 31154212 31154212 1706804
4009035268 97590672 97590672 10472720 63736024 63736024 5861436
4006635258 50494212 50494212 4897508 28318916 28318916 2231084
1060801198 42772872 42772872 4620336 11639004 11639004 297764
1060435348 53945124 53945124 6079596 16127832 16127832 380004
4002135018 61046912 61046912 6624720 28659260 28659260 2072784
4005935358 67027680 67027680 7447976 19163748 19163748 447704
4007535198 69675204 69675204 7523012 13234856 13234856 381956
4007135148 57513128 57513128 6118236 33915312 33915312 2950080
1062735198 82645020 82645020 8991104 33246456 33246456 2189380
