SampleID	Genomospecies	n	propGenomospecies
6744002	GS3	203	0.12438725490196079
6744002	GS4	43	0.026348039215686275
6744002	GS5	18	0.011029411764705883
6744002	GS6	1267	0.7763480392156863
6744006	GS1	18	0.24324324324324326
6744006	GS5	53	0.7162162162162162
6744006	GS7	3	0.04054054054054054
6744009	GS3	14	0.05054151624548736
6744009	GS4	3	0.010830324909747292
6744009	GS5	260	0.9386281588447654
6744010	GS6	2	1
6744011	GS5	3	1
6744012	GS12	5	0.45454545454545453
6744012	GS13	2	0.18181818181818182
6744012	GS2	4	0.36363636363636365
6744014	GS6	3	1
6744015	GS13	4	0.2222222222222222
6744015	GS5	12	0.6666666666666666
6744015	GS7	2	0.1111111111111111
6744016	GS6	3	1
6744017	GS13	2	1
6744020	GS1	1694	0.5426008968609866
6744020	GS11	16	0.005124919923126201
6744020	GS2	140	0.04484304932735426
6744020	GS3	218	0.06982703395259449
6744020	GS4	64	0.020499679692504803
6744020	GS5	69	0.022101217168481742
6744020	GS6	918	0.29404228058936577
6744020	GS8	3	9.609224855861628e-4
6744022	GS1	9	0.011889035667107
6744022	GS10	2	0.002642007926023778
6744022	GS11	2	0.002642007926023778
6744022	GS12	80	0.10568031704095113
6744022	GS13	28	0.036988110964332896
6744022	GS14	42	0.05548216644649934
6744022	GS2	21	0.02774108322324967
6744022	GS3	5	0.0066050198150594455
6744022	GS4	10	0.013210039630118891
6744022	GS5	42	0.05548216644649934
6744022	GS6	3	0.003963011889035667
6744022	GS7	501	0.6618229854689565
6744022	GS8	9	0.011889035667107
6744022	GS9	3	0.003963011889035667
6744023	GS1	145	0.05230880230880231
6744023	GS10	13	0.00468975468975469
6744023	GS12	400	0.1443001443001443
6744023	GS13	13	0.00468975468975469
6744023	GS14	15	0.005411255411255411
6744023	GS2	288	0.1038961038961039
6744023	GS3	8	0.002886002886002886
6744023	GS4	4	0.001443001443001443
6744023	GS5	6	0.0021645021645021645
6744023	GS6	12	0.004329004329004329
6744023	GS7	1452	0.5238095238095238
6744023	GS8	379	0.13672438672438672
6744023	GS9	37	0.013347763347763348
6744027	GS6	3	1
6744028	GS1	7	0.1
6744028	GS2	2	0.02857142857142857
6744028	GS3	20	0.2857142857142857
6744028	GS4	4	0.05714285714285714
6744028	GS6	37	0.5285714285714286
6744031	GS1	57	0.3825503355704698
6744031	GS10	3	0.020134228187919462
6744031	GS2	10	0.06711409395973154
6744031	GS5	13	0.087248322147651
6744031	GS6	45	0.30201342281879195
6744031	GS8	21	0.14093959731543623
6744033	GS6	4	1
6744034	GS14	2	1
6744036	GS1	53	0.06743002544529263
6744036	GS12	71	0.09033078880407125
6744036	GS13	10	0.01272264631043257
6744036	GS14	8	0.010178117048346057
6744036	GS2	23	0.029262086513994912
6744036	GS3	16	0.020356234096692113
6744036	GS4	6	0.007633587786259542
6744036	GS5	16	0.020356234096692113
6744036	GS6	64	0.08142493638676845
6744036	GS7	514	0.6539440203562341
6744036	GS8	3	0.003816793893129771
6744036	GS9	2	0.002544529262086514
6744037	GS10	3	0.05555555555555555
6744037	GS12	29	0.5370370370370371
6744037	GS14	2	0.037037037037037035
6744037	GS4	4	0.07407407407407407
6744037	GS5	2	0.037037037037037035
6744037	GS6	5	0.09259259259259259
6744037	GS9	9	0.16666666666666666
6744039	GS6	2	1
6744041	GS1	35	0.07847533632286996
6744041	GS10	3	0.006726457399103139
6744041	GS11	3	0.006726457399103139
6744041	GS12	27	0.06053811659192825
6744041	GS13	131	0.2937219730941704
6744041	GS14	15	0.033632286995515695
6744041	GS2	14	0.03139013452914798
6744041	GS3	3	0.006726457399103139
6744041	GS4	3	0.006726457399103139
6744041	GS5	10	0.02242152466367713
6744041	GS6	19	0.042600896860986545
6744041	GS7	91	0.2040358744394619
6744041	GS8	70	0.15695067264573992
6744041	GS9	22	0.04932735426008968
6744042	GS6	2	0.5
6744042	GS9	2	0.5
6744043	GS1	254	0.23782771535580524
6744043	GS11	4	0.003745318352059925
6744043	GS12	22	0.020599250936329586
6744043	GS14	2	0.0018726591760299626
6744043	GS2	40	0.03745318352059925
6744043	GS3	8	0.00749063670411985
6744043	GS4	2	0.0018726591760299626
6744043	GS5	18	0.016853932584269662
6744043	GS6	711	0.6657303370786517
6744043	GS7	5	0.0046816479400749065
6744043	GS8	2	0.0018726591760299626
6744044	GS11	3	1
6744045	GS6	2	1
6744046	GS1	106	0.12368728121353559
6744046	GS10	142	0.16569428238039674
6744046	GS2	49	0.057176196032672114
6744046	GS3	51	0.059509918319719954
6744046	GS4	17	0.019836639439906652
6744046	GS5	24	0.028004667444574097
6744046	GS6	9	0.010501750291715286
6744046	GS8	173	0.20186697782963828
6744046	GS9	286	0.3337222870478413
6744049	GS14	2	1
6744050	GS5	114	0.95
6744050	GS6	6	0.05
6744051	GS1	8	0.03319502074688797
6744051	GS11	8	0.03319502074688797
6744051	GS12	13	0.05394190871369295
6744051	GS2	29	0.12033195020746888
6744051	GS4	7	0.029045643153526972
6744051	GS5	7	0.029045643153526972
