SampleID	Genomospecies	n	propGenomospecies
6743970	GS4	2	0.08333333333333333
6743970	GS6	12	0.5
6743972	GS1	33	0.1658291457286432
6743972	GS2	7	0.035175879396984924
6743972	GS7	159	0.7989949748743719
6743973	GS5	2	0.2857142857142857
6743973	GS6	5	0.7142857142857143
6743976	GS1	2	0.03389830508474576
6743976	GS10	12	0.2033898305084746
6743976	GS5	2	0.03389830508474576
6743976	GS8	2	0.03389830508474576
6743976	GS9	41	0.6949152542372882
6743980	GS1	4	0.00333889816360601
6743980	GS12	25	0.020868113522537562
6743980	GS14	931	0.7771285475792988
6743980	GS2	12	0.01001669449081803
6743980	GS3	14	0.011686143572621035
6743980	GS4	36	0.03005008347245409
6743980	GS5	3	0.0025041736227045075
6743980	GS7	142	0.11853088480801335
6743980	GS8	26	0.021702838063439065
6743980	GS9	5	0.004173622704507512
6743982	GS1	409	0.09327251995438997
6743982	GS12	127	0.02896237172177879
6743982	GS2	14	0.0031927023945267957
6743982	GS5	131	0.029874572405929306
6743982	GS6	3704	0.8446978335233751
6743988	GS1	4	0.26666666666666666
6743988	GS12	5	0.3333333333333333
6743988	GS14	4	0.26666666666666666
6743988	GS6	2	0.13333333333333333
6743989	GS5	4	0.0851063829787234
6743989	GS6	43	0.9148936170212766
6743991	GS5	2	1
6743997	GS1	2	0.25
6743997	GS7	6	0.75
6743999	GS14	6	0.6666666666666666
6743999	GS7	3	0.3333333333333333
6744000	GS1	28	0.03814713896457766
6744000	GS10	2	0.0027247956403269754
6744000	GS11	17	0.02316076294277929
6744000	GS12	65	0.0885558583106267
6744000	GS13	22	0.02997275204359673
6744000	GS14	19	0.025885558583106268
6744000	GS2	47	0.06403269754768393
6744000	GS5	504	0.6866485013623979
6744000	GS6	4	0.005449591280653951
6744000	GS7	5	0.006811989100817439
6744000	GS8	9	0.01226158038147139
6744000	GS9	12	0.01634877384196185
6744001	GS1	18	0.75
6744001	GS5	2	0.08333333333333333
