SampleID	Clade	n	propClade
6743954	C3	3752	0.7668097281831188
6743954	C4	261	0.05334150827713059
6743954	C5	197	0.040261598201512365
6743954	C6	650	0.13284283670549765
6743955	C1	4	1
6743956	C5	4	1
6743958	C1	5	0.11363636363636363
6743958	C3	22	0.5
6743958	C4	15	0.3409090909090909
6743958	C5	2	0.045454545454545456
6743959	C1	3	0.061224489795918366
6743959	C2	46	0.9387755102040817
6743962	C1	38	0.030919446704637917
6743962	C2	264	0.21480878763222133
6743962	C3	6	0.004882017900732303
6743962	C4	921	0.7493897477624084
6743963	C1	6	0.0821917808219178
6743963	C2	12	0.1643835616438356
6743963	C3	10	0.136986301369863
6743963	C4	43	0.589041095890411
6743963	C5	2	0.0273972602739726
6743964	C1	13	0.010236220472440945
6743964	C2	16	0.012598425196850394
6743964	C3	1030	0.8110236220472441
6743964	C4	10	0.007874015748031496
6743964	C5	64	0.050393700787401574
6743964	C6	137	0.1078740157480315
6743969	C2	2	0.018691588785046728
6743969	C3	2	0.018691588785046728
6743969	C4	103	0.9626168224299065
6743970	C2	13	0.21311475409836064
6743970	C3	17	0.2786885245901639
6743970	C4	29	0.47540983606557374
6743970	C6	2	0.03278688524590164
6743972	C1	78	0.12935323383084577
6743972	C3	511	0.8474295190713101
6743972	C4	9	0.014925373134328358
6743972	C6	5	0.008291873963515755
6743973	C1	5	0.11363636363636363
6743973	C2	3	0.06818181818181818
6743973	C3	12	0.2727272727272727
6743973	C4	22	0.5
6743973	C5	2	0.045454545454545456
6743976	C1	9	0.04918032786885246
6743976	C3	168	0.9180327868852459
6743976	C4	6	0.03278688524590164
6743980	C1	40	0.011740534194305841
6743980	C2	86	0.025242148517757558
6743980	C3	3207	0.9412973290284707
6743980	C4	22	0.006457293806868212
6743980	C5	52	0.015262694452597593
6743982	C1	1051	0.09146288399617092
6743982	C2	54	0.004699329910364633
6743982	C3	97	0.008441388913062396
6743982	C4	9902	0.8617178661561222
6743982	C5	387	0.033678531024279874
6743983	C1	275	0.42569659442724456
6743983	C4	368	0.5696594427244582
6743983	C6	3	0.0046439628482972135
6743985	C3	2	1
6743986	C4	4	1
6743987	C2	2	0.2857142857142857
6743987	C3	3	0.42857142857142855
6743987	C4	2	0.2857142857142857
6743988	C1	12	0.23529411764705882
6743988	C3	11	0.21568627450980393
6743988	C4	18	0.35294117647058826
6743988	C5	10	0.19607843137254902
6743989	C4	138	1
6743991	C2	3	0.17647058823529413
6743991	C3	5	0.29411764705882354
6743991	C4	7	0.4117647058823529
6743991	C5	2	0.11764705882352941
6743992	C4	2	1
6743994	C5	2	1
6743997	C1	11	0.2972972972972973
6743997	C3	15	0.40540540540540543
6743997	C4	11	0.2972972972972973
6743999	C3	21	0.875
6743999	C5	3	0.125
6744000	C1	150	0.08347245409015025
6744000	C2	51	0.028380634390651086
6744000	C3	179	0.09961046188091263
6744000	C4	1181	0.6572064552031163
6744000	C5	188	0.10461880912632164
6744000	C6	48	0.02671118530884808
6744001	C1	39	0.6290322580645161
6744001	C3	18	0.2903225806451613
6744001	C4	5	0.08064516129032258
6744002	C1	210	0.054787372815027394
6744002	C2	671	0.17505870075658753
6744002	C3	7	0.001826245760500913
6744002	C4	2945	0.7683276806678841
6744006	C1	57	0.2714285714285714
6744006	C2	2	0.009523809523809525
6744006	C3	13	0.06190476190476191
6744006	C4	136	0.6476190476190476
6744006	C5	2	0.009523809523809525
6744007	C4	9	1
6744009	C2	29	0.04341317365269461
6744009	C3	2	0.0029940119760479044
6744009	C4	637	0.9535928143712575
6744010	C3	5	0.625
6744010	C4	3	0.375
6744011	C2	9	0.3333333333333333
6744011	C4	18	0.6666666666666666
6744012	C1	24	0.375
6744012	C2	5	0.078125
6744012	C3	14	0.21875
6744012	C4	7	0.109375
6744012	C5	8	0.125
6744012	C6	6	0.09375
6744014	C4	15	1
6744015	C1	8	0.13114754098360656
6744015	C3	6	0.09836065573770492
