SampleID	Clade	n	propClade
4002135018	C1	268	0.012138230898138503
4002135018	C2	4849	0.2196204538249015
4002135018	C3	16635	0.7534308619049775
4002135018	C4	323	0.014629285746637076
4002135018	C6	4	1.811676253453508e-4
4003235018	C1	1	9.296272194849865e-5
4003235018	C2	538	0.05001394440829227
4003235018	C3	41	0.0038114715998884448
4003235018	C4	10177	0.9460816212698708
4003235288	C1	429	0.065257073319136
4003235288	C2	14	0.0021296014602981443
4003235288	C3	5990	0.9111651962275631
4003235288	C4	141	0.02144812899300274
4003235368	C1	2252	0.1713198934956257
4003235368	C2	113	0.008596424496006085
4003235368	C3	4272	0.32499049068086727
4003235368	C4	6507	0.49501711677443894
4003235368	C6	1	7.607455306200075e-5
4004235208	C1	105	0.011665370514387291
4004235208	C2	337	0.037440284412843014
4004235208	C3	8441	0.9377846905899344
4004235208	C4	1	1.1109876680368848e-4
4004235208	C5	19	0.002110876569270081
4004235208	C6	98	0.01088767914676147
4004235248	C1	134	0.005296861411969326
4004235248	C2	7614	0.30097240888607796
4004235248	C3	15742	0.622262629456874
4004235248	C4	13	5.138746145940391e-4
4004235248	C5	264	0.010435607557909716
4004235248	C6	1531	0.06051861807257491
4004235268	C1	113	0.025083240843507215
4004235268	C2	224	0.04972253052164262
4004235268	C3	2576	0.5718091009988902
4004235268	C4	3	6.659267480577136e-4
4004235268	C5	1559	0.3460599334073252
4004235268	C6	30	0.006659267480577136
4004735328	C1	487	0.3396094839609484
4004735328	C2	7	0.0048814504881450485
4004735328	C4	739	0.5153417015341701
4004735328	C5	181	0.12622036262203626
4004735328	C6	20	0.01394700139470014
4004735368	C1	315	0.37815126050420167
4004735368	C2	10	0.012004801920768308
4004735368	C4	181	0.21728691476590636
4004735368	C5	305	0.36614645858343337
4004735368	C6	22	0.026410564225690276
4004935158	C1	145	0.09945130315500686
4004935158	C2	153	0.10493827160493827
4004935158	C3	770	0.5281207133058985
4004935158	C4	8	0.0054869684499314125
4004935158	C5	13	0.008916323731138546
4004935158	C6	369	0.25308641975308643
4004935268	C1	132	0.015909364830661684
4004935268	C2	771	0.0929251536700012
4004935268	C3	5033	0.6066047969145474
4004935268	C4	9	0.0010847294202723876
4004935268	C5	44	0.005303121610220562
4004935268	C6	2308	0.27817283355429673
4004935338	C1	401	0.06877036528897273
4004935338	C2	394	0.0675698850968959
4004935338	C3	2930	0.502486708969302
4004935338	C4	1764	0.3025210084033613
4004935338	C5	332	0.056937060538501116
4004935338	C6	10	0.001714971702966901
4005935278	C1	211	0.031310283424840483
4005935278	C2	3544	0.5258940495622496
4005935278	C3	770	0.11426027600534204
4005935278	C4	2213	0.3283870010387298
4005935278	C6	1	1.4838996883810655e-4
4005935328	C1	20	0.019762845849802372
4005935328	C2	83	0.08201581027667984
4005935328	C3	12	0.011857707509881422
4005935328	C4	894	0.883399209486166
4005935328	C6	3	0.0029644268774703555
4005935358	C2	7	0.5
4005935358	C4	7	0.5
4006635198	C1	511	0.016046979022735837
4006635198	C2	440	0.013817359628187413
4006635198	C3	24031	0.7546476573294812
4006635198	C4	2000	0.06280618012812461
4006635198	C5	76	0.002386634844868735
4006635198	C6	4786	0.1502951890466022
4006635258	C1	509	0.03198039708469465
4006635258	C2	653	0.04102789645639608
4006635258	C3	11159	0.7011183714501131
4006635258	C4	899	0.056484041216386026
4006635258	C5	450	0.028273435536566978
4006635258	C6	2246	0.14111585825584316
4006635278	C1	1378	0.049654078985298354
4006635278	C2	731	0.026340443931968868
4006635278	C3	15253	0.5496180455462669
4006635278	C4	981	0.035348803689824154
4006635278	C5	4707	0.1696093975208994
4006635278	C6	4702	0.16942923032574228
4006635338	C1	5	0.1724137931034483
4006635338	C3	16	0.5517241379310345
4006635338	C4	5	0.1724137931034483
4006635338	C6	3	0.10344827586206896
4006935208	C1	1440	0.19420094403236682
4006935208	C2	977	0.13175994605529331
4006935208	C3	505	0.06810519217801753
4006935208	C4	525	0.07080242751180041
4006935208	C5	246	0.033175994605529335
4006935208	C6	3722	0.5019554956169926
4006935248	C1	176	0.017057569296375266
4006935248	C2	2546	0.24675324675324675
4006935248	C3	6996	0.6780383795309168
4006935248	C4	480	0.04652064353556891
4006935248	C5	30	0.002907540220973057
4006935248	C6	90	0.00872262066291917
4006935358	C1	331	0.06093519882179676
4006935358	C2	386	0.07106038291605302
4006935358	C3	3825	0.7041605301914581
4006935358	C4	98	0.01804123711340206
4006935358	C5	119	0.02190721649484536
4006935358	C6	673	0.12389543446244478
4007135108	C1	82	0.008635214827295703
4007135108	C2	236	0.02485256950294861
4007135108	C3	8268	0.8706823925863522
4007135108	C4	507	0.05339090143218197
4007135108	C5	119	0.012531592249368156
4007135108	C6	284	0.02990732940185341
4007135118	C1	334	0.017603963527117482
4007135118	C2	256	0.013492858272281664
4007135118	C3	14376	0.7577083223528172
4007135118	C4	1687	0.08891582775523112
4007135118	C5	1083	0.05708111526906657
4007135118	C6	1237	0.06519791282348601
4007135148	C1	2055	0.082882955553763
4007135148	C2	1364	0.055013309671694766
4007135148	C3	20563	0.8293538759377269
4007135148	C4	268	0.010809066709687828
4007135148	C5	255	0.01028474630959103
4007135148	C6	289	0.0116560458175365
4007135288	C1	127	0.03427800269905533
4007135288	C2	537	0.14493927125506073
4007135288	C3	2024	0.5462887989203778
4007135288	C4	27	0.0072874493927125505
4007135288	C5	963	0.25991902834008096
4007135288	C6	27	0.0072874493927125505
4007235168	C1	770	0.9436274509803921
4007235168	C2	33	0.04044117647058824
4007235168	C3	7	0.00857843137254902
4007235168	C4	5	0.006127450980392157
4007235168	C6	1	0.0012254901960784314
4007235278	C1	11360	0.9713552800342027
4007235278	C2	327	0.027960666951688754
4007235278	C3	2	1.7101325352714836e-4
4007235278	C4	5	4.2753313381787086e-4
4007235278	C6	1	8.550662676357418e-5
4007435168	C1	425	0.016022620169651274
4007435168	C2	267	0.010065975494816212
4007435168	C3	1782	0.06718190386427898
4007435168	C4	23591	0.889387370405278
4007435168	C5	254	0.009575871819038642
4007435168	C6	206	0.007766258246936852
4007435248	C1	3555	0.17851762579090089
4007435248	C2	106	0.00532288842020689
4007435248	C3	5578	0.2801044491312644
4007435248	C4	10234	0.5139098121924275
4007435248	C5	267	0.01340765290750226
