SampleID	SpeciesNumber	n	propGenomospecies	Genomospecies
4004735328	1	12	0.16666666666666666	1
4004735328	2	21	0.2916666666666667	2
4004735328	4	2	0.027777777777777776	4
4004735328	5	19	0.2638888888888889	5
4004735328	12	18	0.25	12
4004735368	1	14	0.2692307692307692	1
4004735368	2	10	0.19230769230769232	2
4004735368	4	1	0.019230769230769232	4
4004735368	12	26	0.5	12
4004735368	13	1	0.019230769230769232	13
4004935158	2	5	0.017482517482517484	2
4004935158	3	5	0.017482517482517484	3
4004935158	4	14	0.04895104895104895	4
4004935158	7	17	0.05944055944055944	7
4004935158	8	81	0.28321678321678323	8
4004935158	9	14	0.04895104895104895	9
4004935158	10	2	0.006993006993006993	10
4004935158	13	148	0.5174825174825175	13
4004935268	2	11	0.007308970099667774	2
4004935268	3	2	0.00132890365448505	3
4004935268	7	191	0.12691029900332226	7
4004935268	8	34	0.022591362126245847	8
4004935268	9	21	0.013953488372093023	9
4004935268	11	280	0.18604651162790697	11
4004935268	12	2	0.00132890365448505	12
4004935268	13	964	0.640531561461794	13
4004935338	1	14	0.050359712230215826	1
4004935338	2	17	0.06115107913669065	2
4004935338	3	7	0.025179856115107913	3
4004935338	4	47	0.16906474820143885	4
4004935338	5	76	0.2733812949640288	5
4004935338	7	83	0.29856115107913667	7
4004935338	8	9	0.03237410071942446	8
4004935338	9	5	0.017985611510791366	9
4004935338	10	1	0.0035971223021582736	10
4004935338	11	1	0.0035971223021582736	11
4004935338	12	16	0.05755395683453238	12
4004935338	13	2	0.007194244604316547	13
4005935278	1	16	0.030710172744721688	1
4005935278	2	1	0.0019193857965451055	2
4005935278	3	139	0.2667946257197697	3
4005935278	4	208	0.39923224568138194	4
4005935278	6	138	0.2648752399232246	6
4005935278	7	10	0.019193857965451054	7
4005935278	9	7	0.013435700575815739	9
4005935278	10	2	0.003838771593090211	10
4005935328	1	2	0.028169014084507043	1
4005935328	3	7	0.09859154929577464	3
4005935328	4	11	0.15492957746478872	4
4005935328	5	1	0.014084507042253521	5
4005935328	6	45	0.6338028169014085	6
4005935328	9	5	0.07042253521126761	9
4005935358	4	1	1	4
4006635198	1	8	0.0031311154598825833	1
4006635198	2	35	0.0136986301369863	2
4006635198	3	16	0.0062622309197651665	3
4006635198	4	3	0.0011741682974559687	4
4006635198	5	5	0.0019569471624266144	5
4006635198	6	21	0.00821917808219178	6
4006635198	7	449	0.17573385518590998	7
4006635198	8	96	0.037573385518591	8
4006635198	9	28	0.010958904109589041	9
4006635198	10	31	0.01213307240704501	10
4006635198	11	35	0.0136986301369863	11
4006635198	12	4	0.0015655577299412916	12
4006635198	13	1824	0.713894324853229	13
4006635258	1	21	0.012875536480686695	1
4006635258	2	31	0.01900674432863274	2
4006635258	3	30	0.018393623543838136	3
4006635258	4	12	0.007357449417535254	4
4006635258	5	5	0.0030656039239730227	5
4006635258	6	139	0.08522378908645004	6
4006635258	7	161	0.09871244635193133	7
4006635258	8	203	0.12446351931330472	8
4006635258	9	88	0.0539546290619252	9
4006635258	10	16	0.009809932556713672	10
4006635258	11	47	0.028816676885346414	11
4006635258	12	42	0.02575107296137339	12
4006635258	13	836	0.5125689760882894	13
4006635278	1	52	0.013774834437086093	1
4006635278	2	105	0.02781456953642384	2
4006635278	3	25	0.006622516556291391	3
4006635278	4	14	0.003708609271523179	4
4006635278	5	5	0.0013245033112582781	5
4006635278	6	679	0.17986754966887417	6
4006635278	7	231	0.06119205298013245	7
4006635278	8	267	0.07072847682119206	8
4006635278	9	95	0.025165562913907286	9
4006635278	10	41	0.010860927152317882	10
4006635278	11	68	0.018013245033112583	11
4006635278	12	366	0.09695364238410596	12
4006635278	13	1827	0.48397350993377486	13
4006935208	1	79	0.03891625615763547	1
4006935208	2	194	0.09556650246305419	2
4006935208	3	38	0.0187192118226601	3
4006935208	4	40	0.019704433497536946	4
4006935208	6	11	0.00541871921182266	6
4006935208	8	68	0.033497536945812804	8
4006935208	9	5	0.0024630541871921183	9
4006935208	11	192	0.09458128078817735	11
4006935208	12	20	0.009852216748768473	12
4006935208	13	1383	0.68128078817734	13
4006935248	1	9	0.0032822757111597373	1
4006935248	2	26	0.009482129832239242	2
4006935248	3	6	0.002188183807439825	3
4006935248	6	13	0.004741064916119621	6
4006935248	8	1697	0.6188913202042305	8
4006935248	9	1	3.6469730123997083e-4	9
4006935248	10	6	0.002188183807439825	10
4006935248	11	946	0.3450036469730124	11
4006935248	12	1	3.6469730123997083e-4	12
4006935248	13	37	0.01349380014587892	13
4006935358	1	20	0.017241379310344827	1
4006935358	2	7	0.00603448275862069	2
4006935358	4	27	0.02327586206896552	4
4006935358	5	21	0.01810344827586207	5
4006935358	8	239	0.20603448275862069	8
4006935358	9	570	0.49137931034482757	9
4006935358	10	23	0.019827586206896553	10
4006935358	12	6	0.005172413793103448	12
4006935358	13	247	0.21293103448275863	13
4007135108	1	6	0.020338983050847456	1
4007135108	2	8	0.02711864406779661	2
4007135108	3	15	0.05084745762711865	3
4007135108	4	1	0.003389830508474576	4
4007135108	5	4	0.013559322033898305	5
4007135108	6	9	0.030508474576271188	6
4007135108	7	29	0.09830508474576272	7
4007135108	8	11	0.03728813559322034	8
4007135108	9	22	0.07457627118644068	9
4007135108	10	1	0.003389830508474576	10
4007135108	11	27	0.09152542372881356	11
4007135108	12	15	0.05084745762711865	12
4007135108	13	147	0.49830508474576274	13
4007135118	1	11	0.00938566552901024	1
4007135118	2	22	0.01877133105802048	2
4007135118	3	17	0.014505119453924915	3
4007135118	4	1	8.532423208191126e-4	4
4007135118	5	8	0.006825938566552901	5
4007135118	6	17	0.014505119453924915	6
4007135118	7	338	0.2883959044368601	7
4007135118	8	130	0.11092150170648464	8
4007135118	9	29	0.024744027303754267	9
4007135118	10	2	0.0017064846416382253	10
4007135118	11	29	0.024744027303754267	11
4007135118	12	73	0.06228668941979522	12
4007135118	13	495	0.42235494880546076	13
4007135148	1	125	0.09527439024390244	1
4007135148	2	117	0.08917682926829268	2
4007135148	3	66	0.05030487804878049	3
4007135148	4	9	0.006859756097560976	4
4007135148	6	2	0.001524390243902439	6
4007135148	7	578	0.4405487804878049	7
4007135148	8	27	0.020579268292682928	8
4007135148	9	9	0.006859756097560976	9
4007135148	11	252	0.19207317073170732	11
4007135148	12	12	0.009146341463414634	12
4007135148	13	115	0.08765243902439024	13
4007135288	1	4	0.0073937153419593345	1
4007135288	2	9	0.0166358595194085	2
4007135288	3	4	0.0073937153419593345	3
4007135288	7	23	0.04251386321626617	7
4007135288	8	118	0.21811460258780038	8
4007135288	9	61	0.11275415896487985	9
4007135288	10	6	0.011090573012939002	10
4007135288	11	232	0.4288354898336414	11
4007135288	12	75	0.13863216266173753	12
4007135288	13	9	0.0166358595194085	13
4007235168	1	9	0.6	1
4007235168	2	2	0.13333333333333333	2
4007235168	6	3	0.2	6
4007235168	8	1	0.06666666666666667	8
4007235278	1	197	0.9380952380952381	1
4007235278	2	13	0.06190476190476191	2
4007435168	1	11	0.01818181818181818	1
4007435168	2	20	0.03305785123966942	2
4007435168	3	3	0.0049586776859504135	3
4007435168	4	33	0.05454545454545454	4
4007435168	5	159	0.2628099173553719	5
4007435168	8	196	0.3239669421487603	8
4007435168	9	77	0.12727272727272726	9
4007435168	10	6	0.009917355371900827	10
4007435168	12	23	0.03801652892561983	12
4007435168	13	77	0.12727272727272726	13
4007435248	1	124	0.08617095205003475	1
4007435248	2	216	0.15010423905489922	2
4007435248	3	11	0.007644197359277276	3
4007435248	5	122	0.0847810979847116	5
4007435248	8	641	0.4454482279360667	8
4007435248	9	213	0.1480194579569145	9
4007435248	10	33	0.022932592077831826	10
4007435248	11	4	0.002779708130646282	11
4007435248	12	25	0.017373175816539264	12
4007435248	13	50	0.03474635163307853	13
4007435258	1	2	0.16666666666666666	1
4007435258	2	1	0.08333333333333333	2
4007435258	5	5	0.4166666666666667	5
4007435258	13	4	0.3333333333333333	13
4007535198	1	2	0.07142857142857142	1
4007535198	2	26	0.9285714285714286	2
4007535358	1	86	0.02975778546712803	1
4007535358	2	754	0.26089965397923875	2
4007535358	3	1994	0.6899653979238755	3
4007535358	4	56	0.019377162629757784	4
4008435158	1	169	0.09478407178911946	1
4008435158	3	47	0.026360067302299495	3
4008435158	4	8	0.00448681996634885	4
4008435158	5	37	0.02075154234436343	5
4008435158	8	397	0.2226584408300617	8
4008435158	9	1046	0.5866517106001121	9
4008435158	10	78	0.04374649467190129	10
4008435158	12	1	5.608524957936063e-4	12
4008435348	3	3	0.3	3
4008435348	4	1	0.1	4
4008435348	6	6	0.6	6
4009035168	1	4	0.0019047619047619048	1
4009035168	2	4	0.0019047619047619048	2
4009035168	3	89	0.04238095238095238	3
4009035168	4	21	0.01	4
4009035168	6	1204	0.5733333333333334	6
4009035168	9	171	0.08142857142857143	9
4009035168	10	10	0.004761904761904762	10
4009035168	12	3	0.0014285714285714286	12
4009035168	13	594	0.28285714285714286	13
4009035268	1	218	0.04505994212484498	1
4009035268	2	12	0.0024803637866887144	2
4009035268	3	2746	0.5675899131872675	3
4009035268	4	514	0.10624224886316659	4
4009035268	6	1177	0.24328234807771806	6
4009035268	8	1	2.0669698222405952e-4	8
4009035268	9	151	0.031211244315832987	9
4009035268	10	19	0.003927242662257131	10
4009035368	1	73	0.07066795740561471	1
4009035368	2	7	0.006776379477250726	2
4009035368	3	594	0.5750242013552759	3
4009035368	4	114	0.11035818005808325	4
4009035368	6	205	0.1984511132623427	6
4009035368	8	1	9.68054211035818e-4	8
4009035368	9	31	0.030009680542110357	9
4009035368	10	8	0.007744433688286544	10
4009835178	1	59	0.013339362423694325	1
4009835178	2	16	0.0036174542165950713	2
4009835178	5	1	2.2609088853719196e-4	5
4009835178	8	243	0.05494008591453765	8
4009835178	9	77	0.01740899841736378	9
4009835178	10	3934	0.8894415555053131	10
4009835178	11	91	0.02057427085688447	11
4009835178	12	2	4.521817770743839e-4	12
4009835228	1	1	4.847309743092584e-4	1
4009835228	2	10	0.004847309743092583	2
4009835228	8	89	0.043141056713523994	8
4009835228	9	17	0.008240426563257392	9
4009835228	10	1824	0.8841492971400873	10
4009835228	11	113	0.054774600096946194	11
4009835228	12	9	0.004362578768783325	12
4009835268	1	2	9.514747859181732e-4	1
4009835268	2	5	0.002378686964795433	2
4009835268	8	97	0.0461465271170314	8
4009835268	9	21	0.009990485252140819	9
4009835268	10	1914	0.9105613701236918	10
4009835268	11	63	0.029971455756422453	11
