SampleID	SpeciesNumber	n	propGenomospecies	Genomospecies
4004735368	4	3	0.01171875	4
4004735368	5	42	0.1640625	5
4004735368	11	3	0.01171875	11
4004735368	12	106	0.4140625	12
4004735368	13	15	0.05859375	13
4004935158	1	6	0.015345268542199489	1
4004935158	2	53	0.13554987212276215	2
4004935158	3	36	0.09207161125319693	3
4004935158	4	33	0.08439897698209718	4
4004935158	5	5	0.01278772378516624	5
4004935158	6	1	0.0025575447570332483	6
4004935158	7	106	0.2710997442455243	7
4004935158	8	49	0.12531969309462915	8
4004935158	9	8	0.020460358056265986	9
4004935158	10	4	0.010230179028132993	10
4004935158	12	2	0.005115089514066497	12
4004935158	13	88	0.22506393861892582	13
4004935268	1	9	0.004048582995951417	1
4004935268	2	16	0.007197480881691408	2
4004935268	3	7	0.003148897885739991	3
4004935268	4	5	0.002249212775528565	4
4004935268	7	1294	0.5820962663067927	7
4004935268	8	19	0.008547008547008548	8
4004935268	9	17	0.007647323436797121	9
4004935268	11	225	0.10121457489878542	11
4004935268	12	10	0.00449842555105713	12
4004935268	13	621	0.2793522267206478	13
4004935338	1	2	0.0015186028853454822	1
4004935338	2	103	0.07820804859529233	2
4004935338	3	77	0.058466211085801065	3
4004935338	4	82	0.06226271829916477	4
4004935338	5	520	0.39483675018982534	5
4004935338	6	2	0.0015186028853454822	6
4004935338	7	440	0.3340926347760061	7
4004935338	8	13	0.009870918754745633	8
4004935338	9	1	7.593014426727411e-4	9
4004935338	10	1	7.593014426727411e-4	10
4004935338	11	1	7.593014426727411e-4	11
4004935338	12	72	0.05466970387243736	12
4004935338	13	3	0.002277904328018223	13
4005935278	1	37	0.012028608582574773	1
4005935278	2	12	0.0039011703511053317	2
4005935278	3	1707	0.5549414824447334	3
4005935278	4	223	0.07249674902470742	4
4005935278	5	1	3.2509752925877764e-4	5
4005935278	6	830	0.26983094928478546	6
4005935278	7	266	0.08647594278283485	7
4005935328	1	7	0.01832460732984293	1
4005935328	3	43	0.112565445026178	3
4005935328	4	7	0.01832460732984293	4
4005935328	5	61	0.15968586387434555	5
4005935328	6	262	0.6858638743455497	6
4005935328	7	2	0.005235602094240838	7
4005935358	3	6	0.8571428571428571	3
4005935358	6	1	0.14285714285714285	6
4006635198	1	31	0.0035603537383714252	1
4006635198	2	173	0.019869070862524405	2
4006635198	3	146	0.016768117606523487	3
4006635198	4	50	0.005742506029631331	4
4006635198	5	163	0.01872056965659814	5
4006635198	6	130	0.014930515677041461	6
4006635198	7	6424	0.7377971746870334	7
4006635198	8	278	0.0319283335247502	8
4006635198	9	33	0.0037900539795566787	9
4006635198	10	40	0.004594004823705065	10
4006635198	11	30	0.0034455036177787985	11
4006635198	12	22	0.0025267026530377858	12
4006635198	13	1187	0.1363270931434478	13
4006635258	1	40	0.008613264427217916	1
4006635258	2	153	0.03294573643410853	2
4006635258	3	191	0.04112833763996555	3
4006635258	4	64	0.013781223083548665	4
4006635258	5	67	0.01442721791559001	5
4006635258	6	65	0.013996554694229113	6
4006635258	7	2474	0.532730404823428	7
4006635258	8	713	0.15353143841515934	8
4006635258	9	97	0.020887166236003445	9
4006635258	10	16	0.0034453057708871662	10
4006635258	11	52	0.01119724375538329	11
4006635258	12	142	0.0305770887166236	12
4006635258	13	570	0.1227390180878553	13
4006635278	1	86	0.011716621253405994	1
4006635278	2	361	0.049182561307901905	2
4006635278	3	174	0.023705722070844686	3
4006635278	4	99	0.013487738419618528	4
4006635278	5	75	0.010217983651226158	5
4006635278	6	102	0.013896457765667575	6
4006635278	7	2932	0.3994550408719346	7
4006635278	8	585	0.07970027247956403	8
4006635278	9	103	0.014032697547683924	9
4006635278	10	70	0.009536784741144414	10
4006635278	11	120	0.01634877384196185	11
4006635278	12	1420	0.19346049046321526	12
